013CH232WI-07C SP/122N,0,0,0,0,0,0,0,0,0,0,0,0
013CH232WI-08C SP/122N,0,0,0,2,0,0,1,1,0,2,2,0
013CH232WI-09C SP/122N,1,1,0,1,0,0,0,1,0,1,0,1
013CH232WI-17C SP/122N,0,0,0,0,0,0,0,1,0,1,2,
013CH232W-35C SP/122N,0,4,0,0,0,0,0,0,0,0,0,0
013CH232W-37C SP/122N,10,2,0,9,2,3,2,8,4,7,5,1
013CH232WI-49C SP/122N,0,1,0,1,0,0,0,1,0,0,0,0
013CH232WI-50C SP/122N,2,0,0,1,0,1,2,1,0,0,1,0
013CH232WI-03C SP/126N,1,0,0,1,0,0,0,0,1,2,0,0
013CH232WI-06C SP/126N,,0,0,0,0,0,0,0,0,0,0,0
013CH232WI-07C SP/126N,,,,,,,,,,,,
013CH232WI-08C SP/126N,2,,0,1,0,0,0,0,0,0,0,0
013CH232WI-09C SP/126N,1,0,0,0,1,1,0,0,0,0,1,1
013CH232WI-17C SP/126N,1,0,0,0,0,0,0,2,1,2,,0
013CH232W-35C SP/126N,0,1,0,2,0,1,0,0,0,3,2,0
013CH232W-37C SP/126N,5,0,0,4,2,0,0,0,2,4,3,2
013CH232WI-49C SP/126N,0,0,0,0,1,1,0,0,0,0,0,1
013CH232WI-50C SP/126N,2,0,0,1,0,0,0,0,0,0,0,0
013CH232WI-03C SP/206,,,,,,,,,,,,
013CH232WI-08C SP/206,,,,,,,,,,,,
013CH232WI-09C SP/206,,,,,,,,,,,,
013CH232WI-17C SP/206,,,,,,,,,,,,
013CH232W-20NC SP/206,,,,,,,,,,,,
013CH232W-35C SP/206,,,,,,,,,,,,
013CH232W-37C SP/206,,,,,,,,,,,,
013CH232WI-49C SP/206,,,,,,,,,,,,
013CH232WI-50C SP/206,,,,,,,,,,,,
013CH232WI-03C SP/207,,,,,,,,,,,,
013CH232WI-08C SP/207,,,,,,,,,,,,
013CH232WI-09C SP/207,,,,,,,,,,,,
013CH232WI-17C SP/207,,,,,,,,,,,,
013CH232W-20NC SP/207,,,,,,,,,,,,
013CH232W-35C SP/207,,,,,,,,,,,,
013CH232W-37C SP/207,,,,,,,,,,,,
013CH232WI-49C SP/207,,,,,,,,,,,,
013CH232WI-50C SP/207,,,,,,,,,,,,
013CH232WI-03C SP/209,,,,,,,,,,,,
013CH232WI-08C SP/209,,,,,,,,,,,,
013CH232WI-09C SP/209,,,,,,,,,,,,
013CH232WI-17C SP/209,,,,,,,,,,,,
013CH232W-20NC SP/209,,,,,,,,,,,,
013CH232W-35C SP/209,,,,,,,,,,,,
013CH232W-37C SP/209,,,,,,,,,,,,
013CH232WI-49C SP/209,,,,,,,,,,,,
013CH232WI-50C SP/209,,,,,,,,,,,,
013CH271I-03C SN/01,0,0,1,1,1,2,0,0,1,0,1,0
013CH271I-08C SN/01,0,0,1,1,0,0,0,0,0,1,1,0
013CH271I-09C SN/01,0,0,0,1,0,1,0,1,0,1,0,2
013CH271I-17C SN/01,0,0,0,2,1,0,1,1,0,0,1,2
013CH271-35C SN/01,0,0,0,3,0,0,0,0,0,0,0,1
013CH271-37C SN/01,0,1,2,5,6,8,0,4,4,9,2,6
013CH271I-41C SN/01,0,0,0,0,1,0,0,1,2,2,1,1
013CH271I-42C SN/01,0,0,0,0,1,1,0,0,0,0,2,1
013CH271I-49C SN/01,0,0,0,1,1,1,0,1,2,3,1,1
013CH271I-50C SN/01,0,1,1,0,1,1,0,0,0,0,3,1
013CH271I-03C SN/02,0,0,0,0,3,1,2,0,1,0,0,1
013CH271I-08C SN/02,0,0,0,1,1,0,1,0,1,1,2,1
013CH271I-09C SN/02,0,0,0,2,1,1,2,2,1,0,1,1
013CH271I-17C SN/02,0,0,1,0,3,1,1,1,2,0,1,1
013CH271-35C SN/02,0,4,0,1,1,0,0,2,0,0,0,2
013CH271-37C SN/02,0,0,0,11,16,6,10,6,6,3,9,13
013CH271I-41C SN/02,0,0,0,1,1,1,0,0,0,0,0,2
013CH271I-42C SN/02,0,0,0,1,2,0,0,0,0,0,2,1
013CH271I-49C SN/02,0,0,0,2,2,2,1,2,1,0,1,2
013CH271I-50C SN/02,0,0,0,2,3,0,1,0,1,1,3,3
013CH271I-03C SN/03,0,0,0,1,0,1,0,1,2,0,1,2
013CH271I-08C SN/03,0,2,0,1,0,1,2,3,0,3,4,3
013CH271I-09C SN/03,0,0,1,2,0,0,0,2,1,2,2,2
013CH271I-17C SN/03,0,1,0,1,0,0,0,1,2,0,1,1
013CH271-35C SN/03,0,0,0,5,0,1,4,,,,2,
013CH271-37C SN/03,0,4,2,8,2,4,10,13,6,11,18,16
013CH271I-41C SN/03,0,0,0,0,0,0,0,0,0,1,0,0
013CH271I-42C SN/03,0,0,0,0,1,0,3,0,0,0,2,2
013CH271I-49C SN/03,0,0,1,2,0,0,0,2,1,3,2,2
013CH271I-50C SN/03,0,2,0,1,1,1,5,3,0,2,5,4
013CH271I-03C SP/122N,,,1,0,0,3,0,0,0,0,0,0
013CH271I-08C SP/122N,0,0,0,0,1,0,1,0,0,1,1,0
013CH271I-09C SP/122N,0,0,0,0,0,2,1,1,0,0,0,0
013CH271I-17C SP/122N,0,0,0,0,0,0,1,0,1,2,0,0
013CH271-35C SP/122N,0,0,1,2,0,0,0,0,2,2,0,0
013CH271-37C SP/122N,2,4,1,0,4,10,3,6,4,2,2,1
013CH271I-41C SP/122N,1,1,0,0,0,0,0,1,0,0,0,0
013CH271I-42C SP/122N,0,1,0,0,1,0,0,1,2,0,0,0
013CH271I-49C SP/122N,1,1,0,0,0,2,0,2,0,0,0,0
013CH271I-50C SP/122N,0,1,0,0,2,0,1,1,2,1,1,0
013CH271I-03C SP/126N,1,0,0,0,0,1,0,0,0,1,0,0
013CH271I-08C SP/126N,1,0,0,1,0,0,0,0,0,0,0,0
013CH271I-09C SP/126N,1,1,0,0,0,0,2,0,0,0,0,0
013CH271I-17C SP/126N,0,0,0,2,0,0,0,0,0,1,0,0
013CH271-35C SP/126N,0,0,0,3,0,2,1,0,0,0,0,0
013CH271-37C SP/126N,0,0,0,4,0,2,4,2,0,4,0,1
013CH271I-41C SP/126N,0,0,0,0,0,0,0,0,0,0,0,0
013CH271I-42C SP/126N,0,0,0,0,0,0,0,1,0,1,0,0
013CH271I-49C SP/126N,1,1,0,1,0,0,2,0,0,0,0,1
013CH271I-50C SP/126N,1,0,0,2,0,0,0,1,0,1,0,0
013CH271I-03C SP/180,0,0,0,2,2,3,1,0,4,1,1,2
013CH271I-08C SP/180,0,2,0,0,4,0,1,2,0,1,2,0
013CH271I-09C SP/180,0,1,0,0,2,2,0,1,1,0,0,0
013CH271I-17C SP/180,0,2,0,1,2,1,2,2,3,2,0,0
013CH271-35C SP/180,1,7,0,7,4,6,2,3,2,8,3,1
013CH271-37C SP/180,2,16,6,10,14,8,14,12,18,8,11,8
013CH271I-41C SP/180,1,1,1,1,1,0,1,2,3,2,2,2
013CH271I-42C SP/180,0,2,2,2,0,2,3,3,0,0,0,1
013CH271I-49C SP/180,1,2,1,1,3,2,2,2,4,2,2,2
013CH271I-50C SP/180,0,4,2,2,3,2,3,3,1,1,2,1
013CH271I-03C SP/181,1,1,1,2,2,0,6,0,3,0,1,0
013CH271I-08C SP/181,1,3,2,1,3,1,2,1,1,1,0,4
013CH271I-09C SP/181,0,2,0,1,2,3,0,0,0,2,3,2
013CH271I-17C SP/181,1,1,1,2,0,2,3,0,0,2,1,3
013CH271-35C SP/181,0,2,0,3,0,4,,2,2,4,3,3
013CH271-37C SP/181,4,10,2,8,12,11,18,6,12,4,10,11
013CH271I-41C SP/181,0,1,0,1,1,0,0,0,0,0,1,0
013CH271I-42C SP/181,0,0,0,0,2,1,1,1,0,0,0,0
013CH271I-49C SP/181,0,2,0,2,3,2,0,0,0,1,4,1
013CH271I-50C SP/181,1,2,1,1,3,3,3,2,1,0,0,3
013CH271I-03C SP/182,1,0,0,0,1,0,1,0,0,0,0,0
013CH271I-08C SP/182,1,,0,1,1,0,1,0,0,1,0,1
013CH271I-09C SP/182,,2,0,0,0,1,0,0,0,2,2,0
013CH271I-17C SP/182,1,1,0,0,0,0,1,0,0,2,2,1
013CH271-35C SP/182,3,2,2,2,1,,2,,0,0,0,3
013CH271-37C SP/182,5,4,,0,4,2,3,0,0,7,3,2
013CH271I-41C SP/182,0,0,0,0,0,0,0,0,0,0,0,0
013CH271I-42C SP/182,0,0,0,0,0,0,0,0,0,0,0,0
013CH271I-49C SP/182,0,2,0,0,0,1,0,0,0,2,1,0
013CH271I-50C SP/182,1,0,0,1,1,0,0,0,0,1,0,1
013CH271I-03C SP/183,2,2,3,4,9,4,5,6,9,6,6,4
013CH271I-08C SP/183,2,5,4,8,1,7,6,6,3,6,8,6
013CH271I-09C SP/183,4,6,3,8,3,5,4,4,6,5,7,6
013CH271I-17C SP/183,2,5,2,5,3,7,4,6,3,9,5,6
013CH271-35C SP/183,5,1,0,0,5,1,0,3,2,,5,
013CH271-37C SP/183,18,21,18,34,38,,32,27,39,33,36,32
013CH271I-41C SP/183,0,1,0,4,1,0,0,0,1,1,1,0
013CH271I-42C SP/183,1,1,1,4,3,2,0,1,1,0,0,3
013CH271I-49C SP/183,4,5,2,10,5,3,4,5,6,6,7,8
013CH271I-50C SP/183,3,5,5,10,3,8,6,6,3,6,6,6
013CH271I-03C SP/184,0,0,0,0,0,1,0,0,0,0,0,0
013CH271I-08C SP/184,0,0,0,0,0,0,0,0,0,0,0,1
013CH271I-09C SP/184,0,0,1,0,0,1,0,0,0,0,1,0
013CH271I-17C SP/184,0,0,0,0,0,1,0,0,0,0,0,0
013CH271-35C SP/184,2,6,3,3,1,1,1,2,4,1,0,2
013CH271-37C SP/184,0,0,0,0,0,4,1,0,0,0,3,2
013CH271I-41C SP/184,0,0,0,0,0,0,0,0,0,0,0,0
013CH271I-42C SP/184,0,0,,0,0,0,0,0,0,0,0,0
013CH271I-49C SP/184,0,0,0,0,0,1,0,0,0,0,1,0
013CH271I-50C SP/184,0,0,0,0,0,0,0,0,0,0,0,1
013CH1069-02C SP/176,,,0,0,0,0,0,0,0,0,0,3
013CH1069-03C SP/176,,,0,0,0,0,0,0,0,0,1,0
013CH1069-59C SP/176,,,0,0,0,0,0,0,0,0,0,1
013CH1069-02C SP/178,,,0,0,1,1,2,1,2,2,0,1
013CH1069-03C SP/178,,,,,0,1,4,1,1,3,,5
013CH1069-59C SP/178,,,0,0,0,0,1,1,2,2,0,3
013CH1069-02C SP/197,,,0,0,0,1,0,0,0,2,2,0
013CH1069-03C SP/197,,,3,5,2,1,2,0,1,0,0,2
013CH1069-59C SP/197,,,1,3,1,2,4,2,2,2,4,0
013CH1069-02C SP/198,,,1,1,0,0,0,0,0,0,0,0
013CH1069-03C SP/198,,,0,0,0,0,0,1,0,1,0,0
013CH1069-59C SP/198,,,0,1,0,0,0,2,0,0,0,0
013CH1070-03C SN/02,,,0,0,1,0,3,0,0,1,0,2
013CH1070-03LC SN/02,,,3,0,5,1,0,2,1,1,0,1
013CH1070-17C SN/02,,,2,1,2,0,1,2,1,1,0,1
013CH1070-03C SN/03,,,0,1,0,0,1,0,0,0,0,0
013CH1070-03LC SN/03,,,0,0,0,0,0,0,0,1,0,0
013CH1070-17C SN/03,,,0,1,0,0,0,0,0,0,0,0
013CH1070-17C SP/176,,,0,0,0,0,0,0,0,0,0,0
013CH1070-17C SP/178,,,0,0,0,0,0,0,1,0,0,1
013CH1070-03C SP/180,,,0,1,2,0,1,0,0,0,0,0
013CH1070-03LC SP/180,,,,,,0,0,0,0,0,0,0
013CH1070-17C SP/180,,,0,0,0,0,0,0,0,0,0,0
013CH1070-03C SP/183,,,1,4,2,3,1,0,0,1,2,2
013CH1070-03LC SP/183,,,4,3,5,2,5,5,1,4,2,5
013CH1070-17C SP/183,,,1,4,7,2,0,4,3,2,3,3
013CH1070-17C SP/197,,,1,1,3,1,0,0,0,1,0,2
013CH1070-17C SP/198,,,0,0,0,0,0,0,0,0,0,0
014CH1069-02B,,,1,1,1,2,2,2,2,4,2,2
014CH1069-03B,,,3,5,3,3,6,2,2,4,1,7
014CH1069-59B,,,1,4,1,2,5,4,4,4,4,4
014CH1070-03B,,,1,6,3,3,6,0,0,2,2,3
014CH1070-03LB,,,7,3,9,3,6,5,3,6,2,5
014CH1070-17B,,,4,5,13,3,1,5,6,4,3,7
014CH1071LEG-NA,0,4,0,0,0,0,0,36,,,,
CH1068-STEELLEG BL,,,,,,,,,,,,
CH1069-03 SP/172,0,2,1,1,2,1,1,1,,,,
CH1069-59 SP/172,0,1,0,1,0,0,0,0,0,0,1,
CH1069-03 SP/176,0,1,2,0,1,0,0,1,0,0,1,0
CH1069-59 SP/176,0,2,2,1,,,,,,,,1
CH1069-03 SP/178,5,2,2,3,0,1,4,1,1,3,,5
CH1069-59 SP/178,4,2,2,1,0,1,1,1,2,2,,3
CH1070-17 SP/172,0,0,0,0,0,0,0,4,,,,
CH1070-17 SP/176,0,1,1,,1,1,1,1,,,,
CH1070-17 SP/178,1,2,2,0,0,1,1,0,1,2,0,1
CH1070-03L SP/180,1,0,0,0,1,0,0,0,0,1,0,0
CH1070-17 SP/180,3,0,0,1,0,0,1,0,0,0,0,0
CH1070-03L SP/182,0,1,0,0,0,1,1,1,1,,,
CH1070-17 SP/182,0,1,0,0,0,1,1,1,,,,
CH1070-03L SP/183,8,5,4,3,4,2,5,2,2,4,2,4
CH1070-17 SP/183,8,5,2,4,5,2,0,1,4,2,3,3
CH1071N-03SET DB SN/01,2,3,3,6,3,0,2,8,1,10,4,2
CH1071N-03SET DB SN/02,4,5,3,6,3,4,3,4,3,9,1,4
CH1071N-03SET DB SN/03,5,9,6,9,3,8,6,14,3,15,4,4
CH1072-20SET SP/206,3,1,2,0,2,1,0,1,0,0,3,1
CH1072-20SSET SP/206,,,,,,,,,,,,
CH1072-31LSET SP/206,1,2,1,0,1,0,1,0,0,0,1,0
CH1072-32LSET SP/206,3,1,2,0,1,1,0,1,0,0,2,2
CH1072-20SET SP/207,2,5,3,1,2,2,0,1,3,5,3,0
CH1072-20SSET SP/207,,,,,,,,,,,,
CH1072-31LSET SP/207,1,1,2,0,0,0,1,2,3,3,2,1
CH1072-32LSET SP/207,1,4,1,2,2,2,2,2,1,2,2,0
CH1072-20SET SP/209,1,1,1,2,3,1,0,0,1,3,3,3
CH1072-20SSET SP/209,,,,,,,,,,,,
CH1072-31LSET SP/209,1,1,2,3,1,1,0,0,0,3,2,0
CH1072-32LSET SP/209,0,3,1,4,1,0,2,0,1,2,2,3
015ICR-10M±³À°¶ÊÞ°,,,,8,11,10,8,2,3,4,2,0
015ICR-10M²ÝÅ°¶ÊÞ°,,,,8,4,9,6,,3,4,2,0
015ICR-12M±³À°¶ÊÞ°,,,,,,,,,0,1,0,1
015ICR-12M²ÝÅ°¶ÊÞ°,,,,,,,,,0,1,0,1
015ICR-14M±³À°¶ÊÞ°,,,,3,4,2,2,1,3,3,2,1
015ICR-14M²ÝÅ°¶ÊÞ°,,,,3,4,2,2,1,3,1,2,1
CHY038-10F SN/03,,,0,3,1,2,0,0,1,0,0,1
CHY038-12F SN/03,,,,,,,,,0,1,0,0
CHY038-14F SN/03,,,1,0,0,0,0,0,0,0,0,0
CHY039-14F SP/183,,,0,1,3,2,0,0,1,1,0,1
CHY040-10F SP/197,,,0,3,3,0,0,0,1,1,0,0
CHY040-14F SP/197,,,1,1,1,2,0,0,0,0,1,0
,,,,,,,,,,,,
014CH261Î¼Þ®±¼,15,12,14,19,11,7,11,16,11,10,5,5
014CH271LEG-DB,,,,,,,,,,,,
014CH271LEG-NA,,,,,,,,,,,,
014CH351LEG,0,0,8,,,,,0,0,0,0,0
014LEG60PI-DB,94,178,105,109,107,135,126,99,118,96,142,136
014LEG60PI-NA,0,12,16,48,20,8,33,17,22,4,12,8
014N264-F,196,208,276,270,136,132,148,164,288,269,160,160
014N528-F,488,671,559,700,502,316,372,76,454,608,339,452
014N666LEG-DB,100,65,29,106,119,70,32,49,8,82,60,65
014N666LEG-NA,8,12,76,28,16,4,65,37,12,24,28,40
014T323LEG-DB,42,52,87,185,37,47,12,30,77,144,68,37
014T323LEG-NA,33,8,21,36,12,13,12,37,42,16,24,12
014T516LEG,4,4,44,8,20,8,0,16,8,4,4,16
014T523LEG-DB,243,248,174,261,153,137,152,220,129,170,87,166
014T523LEG-NA,25,0,17,33,8,35,0,25,25,21,16,13
014T725LEG-DB,76,80,36,104,88,56,26,52,48,64,52,12
014T725LEG-NA,12,8,28,4,0,20,28,0,12,20,4,8
014CE88-ÊÞÈ,0,123,60,0,60,123,60,60,0,60,0,54
014KL172-35,0,2,0,0,0,2,0,0,0,0,0,0
014KL172-ARM,0,2,0,0,0,2,0,0,0,0,0,0
014N419-35,,,,,,,,,,,,
014N419-37,,,,,,,,,,,,
014N419-41/42ZA,,,,,,,,,,,,
014N419-49/50ZA,,,,,,,,,,,,
014N528-02SE,1,1,1,0,1,0,2,0,1,1,1,2
014N528-02ZA,1,1,1,0,1,0,2,0,1,1,1,2
014N528-03SE,5,4,1,4,6,2,5,2,4,7,4,1
014N528-03ZA,5,4,1,4,6,2,5,2,4,7,4,1
014N528-17ZA,35,48,37,46,36,28,30,39,34,43,30,26
014N528-35,41,44,38,45,39,33,37,47,33,57,31,42
014N528-36,99,121,126,145,94,90,80,123,92,148,81,104
014N528-37,160,202,174,247,162,89,108,172,146,211,112,152
014N528-41/42SE,52,90,58,87,47,34,48,68,49,74,38,67
014N528-41/42ZA,52,90,59,87,47,34,48,68,49,74,38,67
014N528-41S/42SSE,33,23,38,40,37,14,15,26,28,33,16,23
014N528-41S/42SZA,33,23,38,40,37,14,15,26,28,33,16,23
014N528-49/50/03ARM,128,172,146,180,141,85,100,144,121,162,90,113
014N528-49/50SE,116,162,142,172,127,81,86,140,111,146,80,107
014N528-49/50ZA,117,162,143,172,124,81,86,141,112,146,81,106
014N749-03ZA,0,0,0,0,0,0,0,0,1,0,1,0
014N749-17ZA,3,1,3,3,2,2,3,3,4,2,6,1
014N749-35,0,0,0,0,0,0,0,0,1,0,1,0
014N749-36,0,0,0,0,0,0,0,0,2,0,2,0
014N749-37,0,0,0,0,0,0,0,0,1,0,1,0
014N749-49ZA,0,0,0,0,0,0,0,0,0,0,0,0
014N749-50ZA,0,0,0,0,0,0,0,0,1,0,1,0
014T429-03SE,0,0,,,,,,,,,,
014T429-03ZA,0,0,,,,,,,,,,
014T429-06/07SE-A,0,0,,,,,,,,,,
014T429-06/07SE-B,0,0,,,,,,,,,,
014T429-06/07ZA,0,0,,,,,,,,,,
014T429-49/50SE,0,0,,,,,,,,,,
014T429-49ZA,0,0,,,,,,,,,,
014T429-50ZA,0,0,,,,,,,,,,
014T429-ARM,0,0,,,,,,,,,,
014T517-06/07SE,7,7,7,8,5,4,5,16,9,16,13,9
014T517-06/07ZA,7,7,7,8,5,4,5,16,9,16,13,9
014T517-08/09/10ZA,20,9,51,49,30,32,36,21,31,51,37,33
014T517-08/09SEL,9,4,24,22,14,15,10,9,15,24,17,14
014T517-10/08/09SES,11,5,27,27,16,17,11,12,16,27,20,19
014T517-17LZA,1,3,4,4,5,3,5,2,1,2,1,3
014T517-17SZA,6,5,14,17,10,10,10,7,11,11,14,4
014T517-20SE,2,0,4,4,4,2,4,10,4,2,6,2
014T517-20ZA,2,0,4,4,4,2,9,10,4,2,6,2
014T517-49/50ARM,13,13,17,18,12,12,13,22,13,20,16,13
014T517-49/50SE-1,13,13,17,18,12,12,23,22,13,20,16,13
014T517-49/50SE-2,13,13,17,18,12,12,21,22,13,20,16,13
014T517-49/50ZA-1,13,13,17,18,12,12,8,22,13,20,16,13
014T517-49/50ZA-2,13,13,17,18,12,12,8,22,13,20,16,13
014T521-501,,,,,,,0,1,0,2,0,0
014T521-502,,,,,,5,1,0,0,0,2,1
014T521-503,,,,,,,0,1,2,0,4,2
014T521-504,,,,,,0,0,2,0,0,0,0
014T521-505,,,,,,8,7,5,6,2,8,2
