,,,,,TI210422A2,TI210422A1,TI210424A,TI210429A1,TI210429A3,TI210511A,TI210504A,H207808,H207812,H207821,H207832,H207834
,,,,,2021-04-22,2021-04-22,2021-04-24,2021-04-29,2021-04-29,2021-05-11,2021-05-04,2021-05-20,2021-05-27,2021-06-03,2021-06-10,2021-06-19
,,,,,2021-05-12,2021-05-14,2021-05-17,2021-05-19,2021-05-21,2021-05-28,2021-05-31,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02
014CH232W-35,0.02,Ç°ÄÞ,17,3,,,,,,,,,,10.0,,,,,,,
014CH232W-37,0.03,Ç°ÄÞ,116,64,10.0,,,,,,,,,,,,,,,,
014CH232W-49B,1.0,Ç°ÄÞ,14,3,,,,,,,,,3.0,,,3.0,,,,,
014CH232W-50B,1.0,Ç°ÄÞ,4,4,,3.0,2.0,,,1.0,,,3.0,1.0,,2.0,,,,,
014CH261-02LB,1.2,Ç°ÄÞ,5,6,,5.0,,,,,,,3.0,,,3.0,,,,,
014CH261-03B,1.63,Ç°ÄÞ,6,14,4.0,,,,,3.0,,6.0,3.0,4.0,4.0,8.0,,,,,
014CH261-17B,0.0,Ç°ÄÞ,12,18,,,,,,,,,3.0,,,,,,,,
014CH271-35,0.02,Ç°ÄÞ,51,26,20.0,,,,,,,,,10.0,,,,,,,
014CH271-37,0.03,Ç°ÄÞ,170,154,,,,,,,,,,,,20.0,,,,,
014CH271E-03B,1.18,Ç°ÄÞ,11,21,,,,9.0,3.0,8.0,,4.0,4.0,,4.0,8.0,,,,,
014CH271E-08B,0.98,Ç°ÄÞ,13,16,,,,5.0,,4.0,,5.0,5.0,,,5.0,,,,,
014CH271E-09B,0.98,Ç°ÄÞ,8,11,1.0,,1.0,5.0,,5.0,,5.0,5.0,2.0,,3.0,,,,,
014CH271E-17B,0.18,Ç°ÄÞ,19,11,,,,,5.0,,,1.0,5.0,10.0,,,,,,,
014CH271E-41B,1.0,Ç°ÄÞ,27,14,,5.0,,,,,,,,4.0,4.0,,,,,,
014CH271E-42B,1.0,Ç°ÄÞ,23,12,,,,,,,,,,10.0,,,,,,,
014CH271E-49B,0.98,Ç°ÄÞ,15,25,2.0,,2.0,5.0,,5.0,,12.0,5.0,8.0,3.0,3.0,,,,,
014CH271E-50B,0.98,Ç°ÄÞ,16,28,2.0,,,12.0,,,,10.0,5.0,10.0,,5.0,,,,,
014CH351-02B,1.06,Ç°ÄÞ,7,7,,,,,,,,,,,,2.0,,,,,
014CH351-03B,1.32,Ç°ÄÞ,10,13,,,,,4.0,,,,,,,,,,,,
014CH351-06B,1.04,Ç°ÄÞ,10,14,,,,4.0,1.0,,,,,,,1.0,,,,,
014CH351-07B,1.04,Ç°ÄÞ,20,13,,,,,2.0,,,,,,,,,,,,
014CH351-17B,0.14,Ç°ÄÞ,8,9,,,,,,,,,,,,1.0,,,,,
014CH351-17LB,0.24,Ç°ÄÞ,5,0,,,,,,,,,,,,,,,,,
014CH351-49B,1.06,Ç°ÄÞ,19,13,,,,,,,,,,,,3.0,,,,,
014CH351-50B,1.06,Ç°ÄÞ,6,14,3.0,,,,5.0,,,,,,,2.0,,,,,
014CH356-59B,0.06,Ç°ÄÞ,48,38,,,,,,,,,30.0,,20.0,,,,,,
014KL294-08/09B,1.24,Ç°ÄÞ,0,0,,,,,,,,,,,,,,,,,
014KL686-17B,0.19,Ç°ÄÞ,0,0,,,,,,,,,,,,,,,,,
014KL686-41NB,0.76,Ç°ÄÞ,3,0,,,,,,,,,,,,,,,,,
014KL686-42NB,0.76,Ç°ÄÞ,1,0,,,,,,,,,,,,,,,,,
013CH232WI-03C SN/01,0.0275,¶ÊÞ°,2,3,,,,,,2.0,,,3.0,,,,,,,,
013CH232WI-06C SN/01,0.0275,¶ÊÞ°,2,0,,,,,,,,,,,,,,,,,
013CH232WI-07C SN/01,0.0275,¶ÊÞ°,3,0,,,,,,,,,,,,,,,,,
013CH232WI-08C SN/01,0.0275,¶ÊÞ°,2,0,,,,,,2.0,,,,,,,,,,,
013CH232WI-09C SN/01,0.0275,¶ÊÞ°,5,1,,,,,,,,,,,,,,,,,
013CH232WI-17C SN/01,0.011,¶ÊÞ°,3,0,,,,,,,,,,,,,,,,,
013CH232WI-20NC SN/01,0.0275,¶ÊÞ°,6,0,,,,,,,,,,,,,,,,,
013CH232W-35C SN/01,0.0055,¶ÊÞ°,4,0,,,,,,,,,,,,,,,,,
013CH232W-37C SN/01,0.0055,¶ÊÞ°,21,10,,,,,,10.0,,,,,,,,,,,
013CH232WI-49C SN/01,0.0275,¶ÊÞ°,5,1,,,,,,,,,,,,,,,,,
013CH232WI-50C SN/01,0.0275,¶ÊÞ°,3,0,,,,,,,,,,,,,,,,,
013CH232WI-03C SN/02,0.0275,¶ÊÞ°,5,7,,,,,,,,,,,3.0,3.0,,,,,
013CH232WI-06C SN/02,0.0275,¶ÊÞ°,3,0,,,,,,,,,,,,,,,,,
013CH232WI-07C SN/02,0.0275,¶ÊÞ°,1,0,,,,,,,,,,,,,,,,,
013CH232WI-08C SN/02,0.0275,¶ÊÞ°,0,2,2.0,,,,,2.0,,,5.0,,,,,,,,
013CH232WI-09C SN/02,0.0275,¶ÊÞ°,0,0,,,,,,2.0,,,3.0,,,,,,,,
013CH232WI-17C SN/02,0.011,¶ÊÞ°,2,0,,,,,,,,,,,2.0,,,,,,
013CH232WI-20NC SN/02,0.0275,¶ÊÞ°,3,0,,,,,,,,,,,,,,,,,
013CH232W-35C SN/02,0.0055,¶ÊÞ°,7,0,,,,,,,,,,,,,,,,,
013CH232W-37C SN/02,0.0055,¶ÊÞ°,15,18,,,,,,10.0,,,10.0,,,,,,,,
013CH232WI-49C SN/02,0.0275,¶ÊÞ°,1,0,,,,,,,,,3.0,,,,,,,,
013CH232WI-50C SN/02,0.0275,¶ÊÞ°,2,2,,,,,,2.0,,,5.0,,,,,,,,
013CH232WI-03C SN/03,0.0275,¶ÊÞ°,15,7,,,,,,,,5.0,3.0,,,,,,,,
013CH232WI-06C SN/03,0.0275,¶ÊÞ°,1,0,,,,,,,,,,,,,,,,,
013CH232WI-07C SN/03,0.0275,¶ÊÞ°,5,0,,,,,,,,,,,,,,,,,
013CH232WI-08C SN/03,0.0275,¶ÊÞ°,14,3,,,,,,,,3.0,,,,,,,,,
013CH232WI-09C SN/03,0.0275,¶ÊÞ°,17,3,,,,,,,,3.0,,,,,,,,,
013CH232WI-17C SN/03,0.011,¶ÊÞ°,2,1,,,,,,,,,,,2.0,,,,,,
013CH232WI-20NC SN/03,0.0275,¶ÊÞ°,3,0,,,,,,,,,,,,,,,,,
013CH232W-35C SN/03,0.0055,¶ÊÞ°,11,2,,,,,,,,,,,,,,,,,
013CH232W-37C SN/03,0.0055,¶ÊÞ°,31,27,10.0,,,,,20.0,,,,,10.0,,,,,,
013CH232WI-49C SN/03,0.0275,¶ÊÞ°,10,2,5.0,,,,,,,,3.0,,,,,,,,
013CH232WI-50C SN/03,0.0275,¶ÊÞ°,5,2,5.0,,,,,,,,3.0,,,,,,,,
013CH232WI-03C SP/122N,0.0275,¶ÊÞ°,0,0,,,,,,,,,,,,,,,,,
013CH232WI-06C SP/122N,0.0275,¶ÊÞ°,0,0,,,,,,,,,,,,,,,,,
013CH232WI-07C SP/122N,0.0275,¶ÊÞ°,1,0,,,,,,,,,,,,,,,,,
013CH232WI-08C SP/122N,0.0275,¶ÊÞ°,0,0,,,,,,,,,,,,,,,,,
013CH232WI-09C SP/122N,0.0275,¶ÊÞ°,0,0,,,,,,,,,,,,,,,,,
013CH232WI-17C SP/122N,0.0275,¶ÊÞ°,1,0,,,,,,,,,,,,,,,,,
013CH232W-35C SP/122N,0.0275,¶ÊÞ°,4,0,,,,,,,,,,,,,,,,,
013CH232W-37C SP/122N,0.0275,¶ÊÞ°,0,0,,,,,,,,,,,,,,,,,
013CH232WI-49C SP/122N,0.0275,¶ÊÞ°,5,0,,,,,,,,,,,,,,,,,
013CH232WI-50C SP/122N,0.0275,¶ÊÞ°,1,0,,,,,,,,,,,,,,,,,
013CH232WI-03C SP/126N,0.0275,¶ÊÞ°,0,0,,,,,,,,,,,,,,,,,
013CH232WI-06C SP/126N,0.0275,¶ÊÞ°,0,0,,,,,,,,,,,,,,,,,
013CH232WI-07C SP/126N,0.0275,¶ÊÞ°,7,0,,,,,,,,,,,,,,,,,
013CH232WI-08C SP/126N,0.0275,¶ÊÞ°,0,0,,,,,,,,,,,,,,,,,
