,SN/02, Fabric only ,CHILI:17(ブラック）,50,M,5.7,,,SN/02[CHILI-17],,,布地,,
,CH271-03C SP/126N,only cover,,1,set,118.9,,,CH271-03C SP/126N,,,ｶﾊﾞｰ,0.0275,
,CH271-08C SP/180,only cover,,1,set,69.3,,,CH271-08C SP/180,,,ｶﾊﾞｰ,0.0275,
,CH271-17C SP/180,only cover,,1,set,22.9,,,CH271-17C SP/180,,,ｶﾊﾞｰ,0.011,
,CH271-37C SP/180,only cover,,15,pcs,12.7,,,CH271-37C SP/180,,,ｶﾊﾞｰ,0.0055,
,CH271-49C SP/180,only cover,,2,set,66.3,,,CH271-49C SP/180,,,ｶﾊﾞｰ,0.0275,
,CH271-37C SP/181,only cover,,15,pcs,12.7,,,CH271-37C SP/181,,,ｶﾊﾞｰ,0.0055,
,CH271-08C SP/183,only cover,,4,set,69.3,,,CH271-08C SP/183,,,ｶﾊﾞｰ,0.0275,
,CH271-09C SP/183,only cover,,3,set,69.3,,,CH271-09C SP/183,,,ｶﾊﾞｰ,0.0275,
,CH271-17C SP/183,only cover,,6,set,22.9,,,CH271-17C SP/183,,,ｶﾊﾞｰ,0.011,
,CH271-37C SP/183,only cover,,20,pcs,12.7,,,CH271-37C SP/183,,,ｶﾊﾞｰ,0.0055,
,CH271-49C SP/183,only cover,,4,set,66.3,,,CH271-49C SP/183,,,ｶﾊﾞｰ,0.0275,
,CH271-50C SP/183,only cover,,2,set,66.3,,,CH271-50C SP/183,,,ｶﾊﾞｰ,0.0275,
,CH1069-3PC SP/198,総幅(W):2000mm Cover Only,,1,set,88.8,,,CH1069-03C SP/198[LARC-27(NV)],,,,,
,CH1069-2PC SP/178,総幅(W):1800mm Cover Only,,1,set,86.7,,,CH1069-02C SP/178[ASH-GY],,,,,
,CH1069-2PC SP/197,総幅(W):1800mm Cover Only,,1,set,82.8,,,CH1069-02C SP/197[LARC-14(BL)],,,,,
,CH1069-HRC SP/197,Head-rest Cover Only,,3,pcs,5.5,,,CH1069-59C SP/197[LARC-14(BL)],,,,,
,CH1070-3.5PC SN/03,総幅(W):2200mm Cover Only,,1,set,69.2,,,CH1070-03LC SN/03[CHILI-25],,,,,
,CH1070-0.5C SP/183,Stool Cover Only,,1,set,14.7,,,CH1070-17C SP/183,,,,0,
,CH1069-3PB,総幅(W)：2000mm,ヌードボディーのみ,1,pcs,336.2,,,CH1069-03B,,,,1.63,
,CH1069-2PB,総幅(W):1800mm,ヌードボディーのみ,3,pcs,324.2,,,CH1069-02B,,,,0.82,
,CH1069-HRB,Head-rest,ヌードボディーのみ,1,pcs,16.2,,,CH1069-59B,,,,0.06,
,CH1070-0.5PB,Stool,ヌードボディーのみ,1,pcs,170.4,,,CH1070-17B,,,,0.17,
,CH1071N-3P+0.5P SN/01,肘ノックダウン仕様,肘ｸｯｼｮﾝ 2個　DB脚同梱,2,pcs,377,,,CH1071N-03+17 SN/01[CHILI-01],,,,2,
,CH1071N-3P+0.5P SN/02,肘ノックダウン仕様,肘ｸｯｼｮﾝ 2個　DB脚同梱,2,pcs,377,,,CH1071N-03+17 SN/02[CHILI-17],,,,2,
,CH1071N-3P+0.5P SN/03,肘ノックダウン仕様,肘ｸｯｼｮﾝ 2個　DB脚同梱,2,pcs,377,,,CH1071N-03+17 SN/03[CHILI-25],,,,2,
CHY039-14F SP/183,CHY039-14F SP/183,新規ベッド ダブルサイズ,,5,set,225,,,CHY039-14F SP/183,,,,1.017,2656
