CH271E-41 SP/207,JUC000012704,2020/08/17,2020/10/08,1,ok,3970,CH271   0001757
CH271E-17 SP/207,JUC000012704,2020/08/17,2020/10/08,1,ok,3954,CH271   0001596
CH271-35 SP/207,JUC000012704,2020/08/17,2020/10/08,2,ok,3941,CH271   0000983
CH271-49C SP/199,JUC000012706,2020/08/17,2020/10/03,1,ok,5577,CH271   0001727
CH271-09C SP/199,JUC000012706,2020/08/17,2020/10/03,1,ok,1418,CH271   0000906
CH271-37C SP/199,JUC000012706,2020/08/17,2020/10/03,2,ok,1657,CH271   0000907
CH271E-42 SP/190,JUC000012730,2020/08/17,2020/10/09,1,ok,1712,CH271   0001462
CH271E-50 SP/190,JUC000012730,2020/08/17,2020/10/09,1,ok,1991,CH271   0001461
CH271-35 SP/195,JUC000012730,2020/08/17,2020/10/09,2,ok,1532,CH271   0000859
CH271E-50 SP/209,JUC000012736,2020/08/17,2020/10/14,1,ok,2000,CH271   0001415
CH271E-42 SP/209,JUC000012736,2020/08/17,2020/10/14,1,ok,1721,CH271   0001439
CH232W-50 SP/178,JUC000012741,2020/08/17,2020/10/16,1,ok,4966,CH232   0001845
CH232W-37 SP/178,JUC000012741,2020/08/17,2020/10/16,1,ok,5771,
CH232W-08 SP/178,JUC000012741,2020/08/17,2020/10/16,1,ok,4963,CH232   0001846
CH271E-49 SP/199,JUC000012745,2020/08/17,2020/10/09,1,ok,4089,CH271   0001759
CH271E-41 SP/199,JUC000012745,2020/08/17,2020/10/09,1,ok,4087,CH271   0001760
CH271-35 SP/199,JUC000012745,2020/08/17,2020/10/09,2,ok,1536,CH271   0000978
CH271E-42 SP/196,JUC000012748,2020/08/17,2020/10/14,1,ok,1715,CH271   0001754
CH271E-50 SP/196,JUC000012748,2020/08/17,2020/10/14,1,ok,1994,CH271   0001513
CH271-42C SN/03,JUC000012748,2020/08/17,2020/10/14,1,ok,3794,CH271   0001761
CH271-50C SN/03,JUC000012748,2020/08/17,2020/10/14,1,ok,3792,CH271   0001762
