2320,H207455,6.0,CH351-06B,6
2321,H207455,2.0,CH351-07B,2
2322,H207455,3.0,CH351-17B,3
2323,H207455,2.0,CH351-49B,2
2324,H207455,5.0,CH351-50B,5
2325,H207455,20.0,CH356-59B,20
2326,H207455,20.0,N528-17ZA,20
2327,H207455,20.0,N528-35,20
2328,H207455,50.0,N528-36,50
2329,H207455,70.0,N528-37,70
2330,H207455,20.0,N528-41/42SE,20
2331,H207455,20.0,N528-41/42ZA,20
2332,H207455,60.0,N528-49/50/03ARM,60
2333,H207455,60.0,N528-49/50SE,60
2334,H207455,60.0,N528-49/50ZA,60
2335,H207455,10.0,N528-41S/42SSE,10
2336,H207455,10.0,N528-41S/42SZA,10
2337,H207455,20.0,T517-08/09/10ZA,20
2338,H207455,10.0,T517-08/09SEL,10
2339,H207455,5.0,T517-06/07SE,5
2340,H207455,10.0,T517-49/50ZA-1,10
2341,H207455,10.0,T517-49/50ZA-2,10
2342,H207455,5.0,T517-49/50SE-1,5
2343,H207455,10.0,T517-49/50SE-2,10
2344,H207455,10.0,T517-49/50ARM,10
2345,H207455,50.0,LEG60PI-DB,50
2346,H207455,20.0,T516LEG,20
2347,H207455,100.0,T523LEG-DB,100
2348,H207455,30.0,T725LEG-NA,30
2349,H207455,256.0,N528-F,256
2350,H207455,96.0,N264-F,96
2351,H207455,1.0,CH232W-50C SN/01,1
2352,H207455,1.0,CH232W-03C SN/02,1
2353,H207455,1.0,CH232W-03C SP/126N,1
2354,H207455,2.0,CH271-50C SP/122N,2
2355,H207455,2.0,CH271-08C SP/181,2
2356,H207455,2.0,CH271-50C SP/181,2
2357,H207455,2.0,CH271-03C SP/183,2
2358,H207455,10.0,CH271-37C SP/183,10
2359,H207455,1.0,CH271E-03 SP/183,1
2360,H207455,1.0,CH271E-50 SP/190,1
2361,H207455,1.0,CH271E-17 SP/190,1
2362,H207455,1.0,CH271E-50 SP/209,1
2363,H207455,1.0,CH271E-17 SP/209,1
2364,H207455,1.0,CH271-35 SP/196,1
2365,H207455,1.0,CH1071N-03C+17C SP/182,1
2366,H207455,1.0,CH271E-50 SP/182,1
2367,H207455,1.0,CH271E-17 SP/182,1
2368,H207455,1.0,CH271-35 SP/192,1
2369,H207455,1.0,CH271E-09 SP/190,1
2370,H207455,1.0,CH271E-49 SP/190,1
2371,H207455,1.0,CH271E-08 SP/209,1
2372,H207455,1.0,CH271E-50 SP/209,1
2373,H207455,1.0,CH1082N-03SET NA SP/180,1
2374,H207455,1.0,CH232W-03 SP/176,1
2375,H207455,1.0,CH232W-17 SP/176,1
2376,H207496,150.0,SP/181,150.5,TI190518C-1,0
2377,H207496,50.0,SP/183,48.8,TI190518C-1,2
2378,H207496,5.0,CH232W-03B,5.0,TI190518C-1,0
2379,H207496,3.0,CH232W-09B,3.0,TI190518C-1,0
2380,H207496,3.0,CH232W-49B,3.0,TI190518C-1,0
2381,H207496,8.0,CH261-03B,8.0,TI190518C-2,0
2382,H207496,1.0,CH261-02LB,1.0,TI190518C-1,0
2383,H207496,12.0,CH271-03B,12.0,TI190518C-2,0
2384,H207496,4.0,CH271-17B,4.0,TI190518C-2,0
2385,H207496,10.0,CH271-35,10.0,TI190518C-1,0
2386,H207496,2.0,CH271N-08B,2.0,TI190518C-2,0
2387,H207496,4.0,CH271N-09B,4.0,TI190518C-2,0
2388,H207496,8.0,CH271N-50B,8.0,TI190518C-2,0
2389,H207496,5.0,CH271-42B,1.0,TI190518C-1,4.0,TI190518C-2,0
2390,H207496,1.0,CH351-02B,1.0,TI190518C-1,0
2391,H207496,3.0,CH351-03B,3.0,TI190518C-1,0
2392,H207496,1.0,CH351-06B,1.0,TI190518C-1,0
2393,H207496,4.0,CH351-07B,4.0,TI190518C-1,0
2394,H207496,3.0,CH351-49B,3.0,TI190518C-1,0
2395,H207496,2.0,CH351-50B,2.0,TI190518C-1,0
2396,H207496,20.0,N528-35,20.0,TI190518C-2,0
2397,H207496,30.0,N528-36,30.0,TI190518C-2,0
2398,H207496,30.0,N528-37,30.0,TI190518C-2,0
2399,H207496,20.0,N528-41/42SE,20.0,TI190518C-2,0
2400,H207496,20.0,N528-41/42ZA,20.0,TI190518C-2,0
2401,H207496,30.0,N528-49/50/03ARM,30.0,TI190518C-2,0
2402,H207496,30.0,N528-49/50SE,30.0,TI190518C-2,0
2403,H207496,30.0,N528-49/50ZA,30.0,TI190518C-2,0
2404,H207496,5.0,T517-17SZA,5.0,TI190518C-2,0
2405,H207496,10.0,T517-06/07ZA,10.0,TI190518C-2,0
2406,H207496,20.0,T517-49/50ZA-1,20.0,TI190518C-2,0
2407,H207496,10.0,T517-49/50ZA-2,10.0,TI190518C-2,0
2408,H207496,10.0,T517-49/50SE-2,10.0,TI190518C-2,0
2409,H207496,10.0,T517-49/50ARM,10.0,TI190518C-2,0
2410,H207496,100.0,LEG60PI-DB,100.0,TI190518C-1,0
2411,H207496,100.0,N666LEG-DB,100.0,TI190425B,0
2412,H207496,1.0,CH232W-49C SN/01,1.0,TI190518C-1,0
2413,H207496,3.0,CH232W-03C SN/03,3.0,TI190518C-1,0
2414,H207496,1.0,CH271-08C SN/02,1.0,TI190518C-1,0
2415,H207496,2.0,CH271-09C SN/02,2.0,TI190518C-1,0
2416,H207496,10.0,CH271-37C SN/02,10.0,TI190518C-1,0
2417,H207496,3.0,CH271-50C SN/02,3.0,TI190518C-1,0
2418,H207496,1.0,CH271-42C SN/02,1.0,TI190518C-1,0
2419,H207496,10.0,CH271-37C SN/03,10.0,TI190518C-1,0
2420,H207496,1.0,CH271-08C SP/180,1.0,TI190518C-1,0
2421,H207496,10.0,CH271-37C SP/180,10.0,TI190518C-1,0
2422,H207496,1.0,CH271-08C SP/181,1.0,TI190518C-1,0
2423,H207496,10.0,CH271-37C SP/181,10.0,TI190518C-1,0
2424,H207496,1.0,CH271-49C SP/181,1.0,TI190518C-1,0
2425,H207496,1.0,CH271-50C SP/181,1.0,TI190518C-1,0
2426,H207496,2.0,CH271-41C SP/181,2.0,TI190518C-1,0
2427,H207496,2.0,CH271-42C SP/181,2
2428,H207496,1.0,CH271-09C SP/182,1.0,TI190518C-1,0
2429,H207496,10.0,CH271-37C SP/182,10.0,TI190518C-1,0
2430,H207496,5.0,CH271-03C SP/183,5.0,TI190518C-1,0
2431,H207496,3.0,CH271-17C SP/183,3.0,TI190518C-1,0
2432,H207496,1.0,CH1069-02C SP/178,1.0,TI190518C-1,0
2433,H207496,1.0,CH1069-59C SP/198,1.0,TI190518C-1,0
2434,H207496,1.0,CH1069-02B,1.0,TI190518C-2,0
2435,H207496,1.0,LH03-17 HSQ9053Z/03,1.0,TI190518C-2,0
2436,H207496,1.0,LH03LEG-S,2.0,TI190518C-2,0
2437,H207496,1.0,LH03-06 HSQ9053Z/14,1.0,TI190518C-2,0
2438,H207496,1.0,LH03-731 HSQ9053Z/14,1.0,TI190518C-2,0
