013CH232-03C SP/184,4,0
013CH232-06C SP/183,1,0
013CH232-07C SP/180,1,0
013CH232-07C SP/182,1,0
013CH232-07C SP/184,1,0
013CH232-08C SP/180,15,0
013CH232-08C SP/181,2,0
013CH232-08C SP/182,7,0
013CH232-08C SP/183,1,0
013CH232-08C SP/184,1,0
013CH232-09C SP/180,10,0
013CH232-09C SP/182,1,0
013CH232-09C SP/184,3,0
013CH232-09C SP/207,1,0
013CH232-49C SP/126N,2,0
013CH232-49C SP/180,8,0
013CH232-49C SP/181,3,0
013CH232-49C SP/182,7,0
013CH232-49C SP/184,2,0
013CH232-49C SP/207,1,0
013CH232-50C SP/180,12,0
013CH232-50C SP/181,1,0
013CH232-50C SP/182,5,0
013CH232-50C SP/183,5,0
013CH232W-17C SN/02,1,0
013CH232W-35C SN/01,9,0
013CH232W-35C SN/02,9,0
013CH232W-35C SN/03,4,0
013CH232W-35C SO/11,5,0
013CH232W-35C SO/12,11,0
013CH232W-35C SO/14,5,0
013CH232W-35C SP/122N,4,0
013CH232W-35C SP/126N,77,0
013CH232W-35C SP/140,1,0
013CH232W-35C SP/146,2,0
013CH232W-35C SP/156,5,0
013CH232W-35C SP/158,1,0
013CH232W-35C SP/180,1,0
013CH232W-35C SP/181,7,0
013CH232W-35C SP/183,8,0
013CH232W-35C SP/184,17,0
013CH232W-35C SP/207,2,0
013CH232W-35C SP/209,2,0
013CH232W-35C SP/70,13,0
013CH232W-35C SP/72,5,0
013CH232W-37C SN/01,2,5
013CH232W-37C SN/02,19,15
013CH232W-37C SN/03,23,21
013CH232W-37C SP/122N,10,10
013CH232W-37C SP/126N,20,0
013CH232W-37C SP/140,1,0
013CH232W-37C SP/146,1,0
013CH232W-37C SP/180,12,0
013CH232W-37C SP/182,10,0
013CH232W-37C SP/184,2,0
013CH232W-37C SP/206,2,0
013CH232W-37C SP/207,2,0
013CH232WI-03C SN/01,4,1
013CH232WI-03C SN/02,5,5
013CH232WI-03C SN/03,10,3
013CH232WI-03C SP/122N,7,2
013CH232WI-03C SP/126N,3,0
013CH232WI-03C SP/181,1,0
013CH232WI-03C SP/184,1,0
013CH232WI-06C SN/01,3,1
013CH232WI-06C SN/02,4,2
013CH232WI-06C SN/03,2,0
013CH232WI-06C SP/122N,3,1
013CH232WI-06C SP/126N,4,0
013CH232WI-06C SP/180,2,0
013CH232WI-06C SP/181,5,0
013CH232WI-06C SP/182,5,0
013CH232WI-06C SP/184,4,0
013CH232WI-07C SN/01,1,0
013CH232WI-07C SN/02,3,1
013CH232WI-07C SN/03,2,2
013CH232WI-07C SP/122N,4,0
013CH232WI-07C SP/126N,7,0
013CH232WI-07C SP/180,1,0
013CH232WI-07C SP/181,5,0
013CH232WI-07C SP/182,2,0
013CH232WI-07C SP/183,6,0
013CH232WI-07C SP/184,3,0
013CH232WI-08C SN/01,7,2
013CH232WI-08C SN/02,9,1
013CH232WI-08C SN/03,11,5
013CH232WI-08C SP/122N,5,2
013CH232WI-08C SP/126N,3,0
013CH232WI-08C SP/182,6,0
013CH232WI-08C SP/184,8,0
013CH232WI-09C SN/01,6,3
013CH232WI-09C SN/02,9,0
013CH232WI-09C SN/03,11,3
013CH232WI-09C SP/122N,6,0
013CH232WI-09C SP/126N,4,0
013CH232WI-09C SP/206,1,0
013CH232WI-17C SN/01,1,0
013CH232WI-17C SN/02,7,1
013CH232WI-17C SN/03,5,0
013CH232WI-17C SP/122N,3,1
013CH232WI-17C SP/126N,3,0
013CH232WI-17C SP/181,3,0
013CH232WI-17C SP/184,8,0
013CH232WI-49C SN/01,8,2
013CH232WI-49C SN/02,8,0
013CH232WI-49C SN/03,13,3
013CH232WI-49C SP/122N,11,0
013CH232WI-49C SP/126N,5,0
013CH232WI-49C SP/180,4,0
013CH232WI-49C SP/206,1,0
013CH232WI-50C SN/01,1,1
013CH232WI-50C SN/02,7,1
013CH232WI-50C SN/03,13,5
013CH232WI-50C SP/122N,5,2
013CH232WI-50C SP/126N,8,0
013CH232WI-50C SP/180,3,0
013CH232WI-50C SP/181,2,0
013CH232WI-50C SP/182,2,0
013CH232WI-50C SP/184,7,0
013CH271-35C SN/01,5,0
013CH271-35C SN/02,4,0
013CH271-35C SN/03,4,4
013CH271-35C SP/122N,5,2
013CH271-35C SP/126N,2,0
013CH271-35C SP/150,1,0
013CH271-35C SP/156,7,0
013CH271-35C SP/158,8,0
013CH271-35C SP/180,14,2
013CH271-35C SP/181,0,1
013CH271-35C SP/182,3,1
013CH271-35C SP/183,5,0
013CH271-35C SP/184,5,1
013CH271-35C SP/191,1,0
013CH271-35C SP/70,1,0
013CH271-37C SN/01,14,1
013CH271-37C SN/02,50,14
013CH271-37C SN/03,50,8
013CH271-37C SP/122N,12,4
013CH271-37C SP/126N,15,4
013CH271-37C SP/152,1,0
013CH271-37C SP/180,15,22
013CH271-37C SP/181,26,16
013CH271-37C SP/182,21,3
013CH271-37C SP/183,47,53
013CH271-37C SP/184,3,0
013CH271I-03C SN/01,2,0
013CH271I-03C SN/02,5,3
013CH271I-03C SN/03,6,1
013CH271I-03C SP/122N,2,0
013CH271I-03C SP/126N,2,0
013CH271I-03C SP/180,8,3
013CH271I-03C SP/181,4,4
013CH271I-03C SP/182,5,1
013CH271I-03C SP/183,16,11
013CH271I-03C SP/184,2,0
013CH271I-06C SP/122N,2,0
013CH271I-06C SP/126N,2,0
013CH271I-07C SP/122N,2,0
013CH271I-07C SP/126N,4,0
013CH271I-08C SN/01,3,0
013CH271I-08C SN/02,10,1
013CH271I-08C SN/03,8,0
