013CH232W-35C SP/209,,,,,,
013CH232W-37C SP/209,,,,4,,
013CH232WI-49C SP/209,,,,,,
013CH232WI-50C SP/209,,,,,,
013CH271I-03C SN/01,1,1,1,1,,1
013CH271I-08C SN/01,0,2,0,0,0,1
013CH271I-09C SN/01,1,0,0,1,0,1
013CH271I-17C SN/01,3,0,2,0,0,3
013CH271-35C SN/01,0,2,1,0,-1,0
013CH271-37C SN/01,6,6,10,7,0,4
013CH271I-41C SN/01,0,0,1,1,0,1
013CH271I-42C SN/01,1,0,1,1,,0
013CH271I-49C SN/01,1,0,1,1,0,2
013CH271I-50C SN/01,1,1,1,0,0,1
013CH271I-03C SN/02,0,1,0,1,0,2
013CH271I-08C SN/02,0,1,1,1,1,1
013CH271I-09C SN/02,1,0,0,1,3,1
013CH271I-17C SN/02,0,1,0,0,0,2
013CH271-35C SN/02,,0,1,2,0,0
013CH271-37C SN/02,4,5,2,8,12,12
013CH271I-41C SN/02,0,0,0,0,1,2
013CH271I-42C SN/02,0,1,0,1,0,1
013CH271I-49C SN/02,0,0,0,0,3,1
013CH271I-50C SN/02,0,1,1,2,1,1
013CH271I-03C SN/03,0,2,0,1,1,5
013CH271I-08C SN/03,1,4,1,4,0,1
013CH271I-09C SN/03,2,2,1,1,0,2
013CH271I-17C SN/03,1,1,1,2,0,4
013CH271-35C SN/03,0,0,0,0,0,1
013CH271-37C SN/03,19,18,8,17,8,26
013CH271I-41C SN/03,0,1,1,1,0,1
013CH271I-42C SN/03,5,1,1,2,3,1
013CH271I-49C SN/03,2,2,2,2,0,3
013CH271I-50C SN/03,6,3,1,7,3,2
013CH271I-03C SP/122N,0,0,2,,1,
013CH271I-08C SP/122N,0,0,0,0,0,0
013CH271I-09C SP/122N,0,2,0,0,0,0
013CH271I-17C SP/122N,0,2,0,0,0,0
013CH271-35C SP/122N,0,0,0,0,2,
013CH271-37C SP/122N,0,15,2,0,0,1
013CH271I-41C SP/122N,0,3,0,0,0,0
013CH271I-42C SP/122N,0,1,1,,,
013CH271I-49C SP/122N,0,3,0,0,0,0
013CH271I-50C SP/122N,0,1,1,0,0,0
013CH271I-03C SP/126N,0,0,0,0,0,0
013CH271I-08C SP/126N,1,1,0,0,0,0
013CH271I-09C SP/126N,0,0,0,0,0,1
013CH271I-17C SP/126N,0,1,0,0,0,0
013CH271-35C SP/126N,1,,,,,
013CH271-37C SP/126N,3,1,0,0,0,2
013CH271I-41C SP/126N,0,0,0,0,0,0
013CH271I-42C SP/126N,0,0,0,0,0,0
013CH271I-49C SP/126N,0,0,0,0,0,1
013CH271I-50C SP/126N,1,0,0,0,0,0
013CH271I-03C SP/180,0,1,2,1,0,1
013CH271I-08C SP/180,0,0,1,1,0,0
013CH271I-09C SP/180,0,2,0,1,1,0
013CH271I-17C SP/180,0,0,2,2,0,1
013CH271-35C SP/180,5,6,4,9,0,5
013CH271-37C SP/180,15,8,11,10,2,5
013CH271I-41C SP/180,4,0,1,3,0,0
013CH271I-42C SP/180,3,1,3,1,,1
013CH271I-49C SP/180,3,2,1,2,1,0
013CH271I-50C SP/180,3,1,3,2,0,2
013CH271I-03C SP/181,0,0,0,0,0,1
013CH271I-08C SP/181,0,4,1,1,1,2
013CH271I-09C SP/181,1,3,0,0,0,0
013CH271I-17C SP/181,0,7,,0,0,3
013CH271-35C SP/181,2,0,1,4,0,3
013CH271-37C SP/181,6,13,4,4,1,6
013CH271I-41C SP/181,2,0,0,0,0,0
013CH271I-42C SP/181,0,0,1,0,0,0
013CH271I-49C SP/181,4,2,0,2,1,1
013CH271I-50C SP/181,0,4,2,1,0,1
013CH271I-03C SP/182,2,0,0,0,0,1
013CH271I-08C SP/182,0,0,0,0,0,0
013CH271I-09C SP/182,0,0,0,1,0,0
013CH271I-17C SP/182,0,0,0,1,0,0
013CH271-35C SP/182,1,3,5,0,0,4
013CH271-37C SP/182,4,0,0,2,0,2
013CH271I-41C SP/182,0,0,0,0,0,0
013CH271I-42C SP/182,0,0,0,0,0,0
013CH271I-49C SP/182,0,0,0,1,0,0
013CH271I-50C SP/182,0,0,0,0,0,0
013CH271I-03C SP/183,6,5,2,4,3,2
013CH271I-08C SP/183,10,4,7,6,1,2
013CH271I-09C SP/183,5,2,8,6,0,4
013CH271I-17C SP/183,5,6,3,5,5,5
013CH271-35C SP/183,3,0,2,4,0,0
013CH271-37C SP/183,49,35,36,32,13,27
013CH271I-41C SP/183,4,2,3,1,1,2
013CH271I-42C SP/183,1,3,0,2,0,3
013CH271I-49C SP/183,8,3,9,5,2,6
013CH271I-50C SP/183,11,7,6,9,1,6
013CH271I-03C SP/184,0,0,0,0,0,0
013CH271I-08C SP/184,0,0,0,0,0,0
013CH271I-09C SP/184,0,0,0,0,0,1
013CH271I-17C SP/184,0,0,0,0,0,0
013CH271-35C SP/184,0,2,1,7,0,5
013CH271-37C SP/184,0,0,0,0,0,2
013CH271I-41C SP/184,0,0,0,0,0,0
013CH271I-42C SP/184,0,0,0,0,0,0
013CH271I-49C SP/184,0,0,0,0,0,1
013CH271I-50C SP/184,0,0,0,0,0,0
013CH1069-02C SP/176,0,0,0,1,0,0
