CH1069-59B,CH1069-HRB,Head-rest,ヌードボディーのみ,10,pcs,16.2,,,CH1069-59B,,,,0.06,3895,014CH1069-59B
CH1070-03B,CH1070-3PB,総幅(W):1900mm,ヌードボディーのみ,3,pcs,388.3,,,CH1070-03B,,,,1.4,3897,014CH1070-03B
CH1071E-03SET DB SN/03,CH1071E-3P+0.5P SN/03,肘ノックダウン仕様,別製品 肘クッション 2個 DB脚同梱 ,3,set,397.6,,,CH1071E-03SET DB SN/03[CHILI-25],,,,1.37,5464,CH1071E-03SET DB SN/03
CH1072-31LSET SP/206,CH1072-30L SP/206,背ｸｯｼｮﾝ 大1個/小1個,布地：Zhida社 FREE97,3,pcs,315.3,,,CH1072-31LSET SP/206[FREE-97],,,,1.23,3919,CH1072-31LSET SP/206
CH1072-20SET SP/207,CH1072-30N SP/207,背ｸｯｼｮﾝ 大1個/小1個,布地：Zhida社 FREE96,3,pcs,291.1,,,CH1072-20SET SP/207[FREE-96],,,,1.23,3924,CH1072-20SET SP/207
CH1072-31LSET SP/207,CH1072-30L SP/207,背ｸｯｼｮﾝ 大1個/小1個,布地：Zhida社 FREE96,3,pcs,315.3,,,CH1072-31LSET SP/207[FREE-96],,,,1.23,3918,CH1072-31LSET SP/207
CH1072-31LSET SP/209,CH1072-30L SP/209,背ｸｯｼｮﾝ 大1個/小1個,布地：Zhida社 FREE93,3,pcs,315.3,,,CH1072-31LSET SP/209[FREE-93],,,,1.23,3917,CH1072-31LSET SP/209
CH271E-50 SP/183,CH271E-50 SP/183,マチルダ,別製品 CU37x1付き,4,pcs,224.3,,,CH271E-50 SP/183,,,,0.94,1990,CH271E-50 SP/183
N264-F,N264-F,N264　フィナンシェ金属脚,,192,pcs,13.7,,,N264-F,,,,0.003,3714,014N264-F
N528-F,N528-F,N528　カストール金属脚,,256,pcs,11.9,,,N528-F,,,,0.006,3713,014N528-F
T565-G,T565-G,鉄脚,,112,pcs,,,,T565-G,,,,,5795,014T565-G
T725LEG-DB,T725LEG-DB,Wooden leg col.DB,木脚,200,pcs,2.1,,,T725LEG-DB,,,,0.000923076923077,3711,014T725LEG-DB
T725LEG-NA,T725LEG-NA,Wooden leg col.NA,木脚,100,pcs,2.1,,,T725LEG-NA,,,,0.000923076923077,3712,014T725LEG-NA
N528-35,N528-705(背クッション35）,N528-35,35×1,30,pcs,10.7,,,N528-35,,,,,3656,014N528-35
N528-36,N528-706(背クッション36）,N528-36,36×1,40,pcs,12.3,,,N528-36,,,,0.018666666666667,3657,014N528-36
N528-37,N528-707(背クッション37）,N528-37,37×1,60,pcs,14.2,,,N528-37,,,,0.028,3658,014N528-37
