資産区分,資産区分名,拠点CD,拠点名,品目区分,品目区分名,品目CD,品目名,在庫場所CD,在庫場所名,ロケーション,在庫状態区分名,ロット番号,工順,手配内容名,前月末在庫数,在庫単位名,当月入庫数,当月出庫数,現在在庫数,評価単価,現在在庫金額,規格,型式,受注製品名,備考,サイズ１,サイズ２,サイズ３,品種CD,品種名,品目分類CDＡ,品目分類CDＡ名,原価計算しない区分,品目分類CDＢ名,発注フラグ,品目分類CDＣ名,品種大分類CD,品種大分類名,品種中分類CD,品種中分類名,品種小分類CD,品種小分類名,在庫予備項目１,在庫予備項目２,在庫予備項目３,入庫数内訳１,入庫数内訳２,入庫数内訳３,入庫数内訳４,入庫数内訳５,入庫数内訳６,入庫数内訳７,入庫数内訳８,入庫数内訳９,入庫数内訳１０,出庫数内訳１,出庫数内訳２,出庫数内訳３,出庫数内訳４,出庫数内訳５,出庫数内訳６,出庫数内訳７,出庫数内訳８,出庫数内訳９,出庫数内訳１０
1,自社資産,1,南濃工場,1,製品,BRU        00001,BRU        7801     GYBL               Z,Z001,南濃倉庫,,通常,,999,セット組み,0,,1,1,0,169100,0,BRU        7801     GYBLZ,BRU,BRU ｻｲﾄﾞﾎﾞｰﾄﾞ,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,BRU        6815     GY  0,BRU        6815     GY                  ,Z001,南濃倉庫,,通常,,999,セット組み,0,,2,2,0,114700,0,BRU        6815     GY  0,BRU,BRU TVﾎﾞｰﾄﾞ150,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,BRU        6818     BW  0,BRU        6818     BW                  ,Z001,南濃倉庫,,通常,,999,セット組み,0,,1,1,0,115000,0,BRU        6818     BW  0,BRU,BRT TVﾎﾞｰﾄﾞ180,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,BRU        6818     DB  A,BRU        6818     DB                 A,Z001,南濃倉庫,,通常,,999,セット組み,0,,1,1,0,128600,0,BRU        6818     DB  A,BRU,BRT TVﾎﾞｰﾄﾞ180,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,BRU        6818     GY  0,BRU        6818     GY                  ,Z001,南濃倉庫,,通常,,999,セット組み,0,,2,2,0,118100,0,BRU        6818     GY  0,BRU,BRT TVﾎﾞｰﾄﾞ180,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,BRU        6818     GYGYZ,BRU        6818     GYGY               Z,Z001,南濃倉庫,,通常,,999,セット組み,0,,1,1,0,132600,0,BRU        6818     GYGYZ,BRU,BRT TVﾎﾞｰﾄﾞ180,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,BRU        6820     BW  0,BRU        6820     BW                  ,Z001,南濃倉庫,,通常,,999,セット組み,0,,1,1,0,148000,0,BRU        6820     BW  0,BRU,BRU TVﾎﾞｰﾄﾞ200,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,BRU        6820     GY  0,BRU        6820     GY                  ,Z001,南濃倉庫,,通常,,999,セット組み,0,,1,1,0,155600,0,BRU        6820     GY  0,BRU,BRU TVﾎﾞｰﾄﾞ200,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,BRU        6824     BW  Z,BRU        6824     BW                 Z,Z001,南濃倉庫,,通常,,999,セット組み,1,,0,1,0,205900,0,BRU        6824     BW  Z,BRU,BRU TVﾎﾞｰﾄﾞ240,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,BRU        7801     BW  0,BRU        7801     BW                  ,Z001,南濃倉庫,,通常,,999,セット組み,0,,1,1,0,145000,0,BRU        7801     BW  0,BRU,BRU ｻｲﾄﾞﾎﾞｰﾄﾞ,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
