資産区分,資産区分名,拠点CD,拠点名,品目区分,品目区分名,品目CD,品目名,在庫場所CD,在庫場所名,ロケーション,在庫状態区分名,ロット番号,工順,手配内容名,前月末在庫数,在庫単位名,当月入庫数,当月出庫数,現在在庫数,評価単価,現在在庫金額,規格,型式,受注製品名,備考,サイズ１,サイズ２,サイズ３,品種CD,品種名,品目分類CDＡ,品目分類CDＡ名,原価計算しない区分,品目分類CDＢ名,発注フラグ,品目分類CDＣ名,品種大分類CD,品種大分類名,品種中分類CD,品種中分類名,品種小分類CD,品種小分類名,在庫予備項目１,在庫予備項目２,在庫予備項目３,入庫数内訳１,入庫数内訳２,入庫数内訳３,入庫数内訳４,入庫数内訳５,入庫数内訳６,入庫数内訳７,入庫数内訳８,入庫数内訳９,入庫数内訳１０,出庫数内訳１,出庫数内訳２,出庫数内訳３,出庫数内訳４,出庫数内訳５,出庫数内訳６,出庫数内訳７,出庫数内訳８,出庫数内訳９,出庫数内訳１０
1,自社資産,1,南濃工場,5,主要材料,001NC030,,Z001,南濃倉庫,,通常,,999,購入,32,m,-1,0,31,1651.61,51199.91,NC030,,,,1.22,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001NC039,,Z001,南濃倉庫,,通常,,999,購入,32,m,0.6,0,32.6,1673.62,54560.01,NC039,,,,1.22,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001NC058,,Z001,南濃倉庫,,通常,,999,購入,32,m,0.6,0,32.6,1673.62,54560.01,NC058,,,,1.22,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001NC111,,Z001,南濃倉庫,,通常,,999,購入,32,m,-1,0,31,1651.61,51199.91,NC111,,,,1.22,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001NC113,,Z001,南濃倉庫,,通常,,999,購入,10.2,m,-1,0,9.2,1538.24,14151.81,NC113,,,,1.22,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001NC120,,Z001,南濃倉庫,,通常,,999,購入,32,m,-1,0,31,1651.61,51199.91,NC120,,,,1.22,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001NC121,ｺｸﾖE15,Z001,南濃倉庫,,通常,,999,購入,0,m,13.2,0,13.2,1600,21120,NC121,,,,1.22,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001NC131,,Z001,南濃倉庫,,通常,,999,購入,5.1,m,0,0,5.1,1825.35,9309.29,NC131,,,ｺｸﾖ　EQ,1.22,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001NC140,,Z001,南濃倉庫,,通常,,999,購入,7.3,m,0,0,7.3,1647.06,12023.54,NC140,,,,1.22,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001NC145,,Z001,南濃倉庫,,通常,,999,購入,7.3,m,-1,0,6.3,1093.83,6891.13,NC145,,,,1.22,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001NC157,,Z001,南濃倉庫,,通常,,999,購入,240,m,-2,32,206,1613.45,332370.7,NC157,,,,1.22,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,-2,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001PAL-BLU-5050C,PALOMA/BLUSH 5050C,Z001,南濃倉庫,,通常,,999,購入,4,個,0,0,4,4400,17600,PAL-BLU-5050C,,,野中さん依頼分,0,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001POR/WHI,PORTER WHITE GOLD  W22004,Z001,南濃倉庫,,通常,,999,購入,1,m,0,0,1,5720,5720,POR/WHI,,,,1.37,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001RALOS10,RALOS10,Z001,南濃倉庫,,通常,,999,購入,0,m,19.6,0,19.6,750,14700,RALOS10,,,,0,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001RT5007,ｺｸﾖD1,Z001,南濃倉庫,,通常,,999,購入,18.6,m,0,0,18.6,1662.23,30917.48,RT5007,,,R-1135-5007,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
